fold,model,R2,RMSE,MAE,time_s
12,Ridge,0.7600069073758237,0.24488429776678408,0.20862846459205744,0.0
12,Lasso,0.7614670231991354,0.24413822432371957,0.21145271679244476,0.0
12,ElasticNet,0.7655023929574083,0.24206431747852042,0.20827749515499722,0.0
12,SVR,0.8245924446193893,0.20935614629219457,0.17664003931021263,0.0
12,KNN,0.7153516704685788,0.2666956224591487,0.19872139214204457,0.0
12,RF,0.8759010537224083,0.1760944281107127,0.13488680976181788,0.09026956558227539
12,GBR,0.8825392563653955,0.17131995060110541,0.12548500823709663,0.0851750373840332
12,XGBoost,0.8844026246866717,0.16995562939536013,0.1307486315707355,0.19700336456298828
12,AdaBoost,0.8372845754793786,0.20163964738459597,0.15994734468700558,0.13494610786437988
12,MLP,0.6880281456318635,0.2792024820123684,0.20677516826487682,0.7232306003570557
13,TabPFN,0.6344940806276889,0.23353073016892278,0.18636305137572065,10.812543392181396
13,Ridge,0.5219457695953691,0.2670763379325585,0.2105025676886135,0.003603696823120117
13,Lasso,0.522830334786321,0.26682913186011253,0.21268109431959104,0.0009999275207519531
13,ElasticNet,0.5217833194298818,0.26712171239773846,0.21136019532757136,0.0
13,SVR,0.6892587286061016,0.21532591382126426,0.17611036101070812,0.000990152359008789
13,KNN,0.504417020155113,0.2719286841582135,0.21309593414578332,0.001190185546875
13,RF,0.6168662992724225,0.23909583293004805,0.2005183473481332,0.0862588882446289
13,GBR,0.6177629707191254,0.23881588367110573,0.20395389408577294,0.03754711151123047
13,XGBoost,0.6218207810576332,0.23754487232291635,0.19534141263568616,0.11986660957336426
13,AdaBoost,0.5633408545366616,0.2552513866704592,0.21297419229891826,0.13884663581848145
13,MLP,0.3533618255688976,0.31061862985546856,0.2417221900434742,0.11939597129821777
14,TabPFN,0.8203911075174886,0.18897427995919486,0.14996887742865897,9.470905065536499
14,Ridge,0.8142231324895932,0.19219168733398986,0.14724299222295312,0.002237081527709961
14,Lasso,0.8110711310160061,0.1938152492905514,0.14802472915522444,0.00099945068359375
14,ElasticNet,0.8131499623819616,0.1927460011415946,0.14774508406409714,0.0009551048278808594
14,SVR,0.8030633303395133,0.19788007965006532,0.16947267680797176,0.0011837482452392578
14,KNN,0.8391443372753307,0.17883682828639103,0.13969809926626764,0.0009996891021728516
14,RF,0.8435130760270838,0.17639156307432333,0.1429138564012937,0.0823068618774414
14,GBR,0.8288820885198924,0.1844533372947284,0.14651182467663448,0.038437843322753906
14,XGBoost,0.9027300249828674,0.13906831222634564,0.1141093622101722,0.10738897323608398
14,AdaBoost,0.8601315075003452,0.166762627353147,0.1291318004703245,0.11023807525634766
14,MLP,0.69045973251004,0.24808320193418412,0.18429522298191373,0.21577095985412598
15,TabPFN,0.8800929247087237,0.16362472699530856,0.14471132078591104,10.18440866470337
15,Ridge,0.8236283226381977,0.1984453617144696,0.14827764549833755,0.004000425338745117
15,Lasso,0.8245042258128997,0.19795198525835725,0.14733504394303545,0.0
15,ElasticNet,0.8243542428329337,0.19803655449701252,0.14790317194248695,0.0009999275207519531
15,SVR,0.6364200085123219,0.284922349877513,0.2193836815451745,0.0010068416595458984
15,KNN,0.752896427778095,0.23489081880966295,0.1733508500553233,0.000997781753540039
15,RF,0.8895564063928418,0.1570351213823914,0.13196515309764736,0.08046913146972656
15,GBR,0.8696211158322492,0.17062008731172293,0.13928984529777175,0.03800034523010254
15,XGBoost,0.8714634235470933,0.1694103322181848,0.13292163943440283,0.11540436744689941
15,AdaBoost,0.8841201644975315,0.16085348141499553,0.13684907623535217,0.13927555084228516
15,MLP,0.5647724916975116,0.31173437768132123,0.2307012081893534,0.3693525791168213
16,TabPFN,0.733338387708586,0.24469750215571215,0.19614649986605073,9.859117269515991
16,Ridge,0.694599060216079,0.2618692295125431,0.22957368237597933,0.0
16,Lasso,0.6946126181285425,0.26186341676111874,0.22777306604837266,0.0
16,ElasticNet,0.6946023562272077,0.2618678164091254,0.22853518542645143,0.0
16,SVR,0.7237991335298857,0.24903581194579294,0.20679214729483866,0.015897512435913086
16,KNN,0.7621494620170666,0.2311007499772083,0.18937367082463974,0.0
16,RF,0.7664579342882678,0.22899808179316491,0.19554195959274415,0.07885122299194336
16,GBR,0.7594529344528347,0.23240706036119305,0.19557718005079233,0.04735088348388672
16,XGBoost,0.7719845521036731,0.2262723156567469,0.18925258255548952,0.14227533340454102
16,AdaBoost,0.7086768759079092,0.25576243919780284,0.2175570439227843,0.16068601608276367
16,MLP,0.5392156206976833,0.3216608163587361,0.2592095389678418,0.15201306343078613
17,TabPFN,0.8972145551804348,0.16437652121670066,0.14916462629028526,10.426955699920654
17,Ridge,0.8300883749312182,0.2113418583797942,0.1808126603545184,0.0021905899047851562
17,Lasso,0.8330809157684057,0.20947247874044608,0.1808528471555454,0.0009999275207519531
17,ElasticNet,0.834940371137503,0.2083024640336252,0.1793475716751782,0.0013360977172851562
17,SVR,0.844309820362114,0.2023040536685277,0.1671933959994963,0.0010726451873779297
17,KNN,0.8863940962760102,0.1728122105518631,0.1553122982265565,0.0011737346649169922
17,RF,0.9317825839379906,0.13391265103933245,0.12589916609049648,0.08108997344970703
17,GBR,0.9080304772491552,0.1554876649635146,0.14093140870971815,0.03712940216064453
17,XGBoost,0.925819742867006,0.1396426694648137,0.12134587492433403,0.12521076202392578
