fold,model,n_train,R2
9,Ridge,25,-0.37052947692676463
9,GBR,25,0.8798901030053834
9,MLP,25,-3.0010690905546236
9,TabPFN,30,0.8962742001446969
9,RF,30,0.924751854072438
9,XGBoost,30,0.8021000518645212
9,SVR,30,0.41264942582631303
9,Ridge,30,0.19537303586993837
9,GBR,30,0.9250682343478989
9,MLP,30,0.4879801916371186
9,TabPFN,35,0.9314270276277115
9,RF,35,0.9334710696621787
9,XGBoost,35,0.8124407743377408
9,SVR,35,0.4738619930561516
9,Ridge,35,0.324789035872604
9,GBR,35,0.9234626290400085
9,MLP,35,0.5620878745265256
9,TabPFN,40,0.9414901131599808
9,RF,40,0.9585824584517211
9,XGBoost,40,0.8344383043676734
9,SVR,40,0.5218574875030444
9,Ridge,40,0.3498961381811905
9,GBR,40,0.914188629588415
9,MLP,40,0.7786698330628246
9,TabPFN,45,0.9223738178664435
9,RF,45,0.9209083413838051
9,XGBoost,45,0.8134758154064295
9,SVR,45,0.3258153336269677
9,Ridge,45,-0.3501254953847328
9,GBR,45,0.9259588687480915
9,MLP,45,0.22594457103797538
9,TabPFN,48,0.9326042145325485
9,RF,48,0.934614785285096
9,XGBoost,48,0.8412961762345058
9,SVR,48,0.41048236985851105
9,Ridge,48,0.30403851938369775
9,GBR,48,0.9349674566416433
9,MLP,48,0.6420687081232661
10,TabPFN,10,0.3435789445521319
10,RF,10,0.5391738108133441
10,XGBoost,10,0.8470776257474637
10,SVR,10,-0.013945231671387281
10,Ridge,10,0.31688907214314865
10,GBR,10,0.7875417539170965
10,MLP,10,-0.4814201217235665
10,TabPFN,15,0.9038638407925546
10,RF,15,0.8419269362552378
10,XGBoost,15,0.8633227560021106
10,SVR,15,0.5488017536587562
10,Ridge,15,0.5521220037139776
10,GBR,15,0.8438541369763266
10,MLP,15,0.23326495703706507
10,TabPFN,20,0.8996284146824434
10,RF,20,0.9049163270415633
10,XGBoost,20,0.8536765558441516
10,SVR,20,0.6106615072443708
10,Ridge,20,0.4093986649644169
10,GBR,20,0.8481477439376647
10,MLP,20,-0.6414833878337247
10,TabPFN,25,0.8816069320037113
10,RF,25,0.9362810825605975
10,XGBoost,25,0.8474062251543605
10,SVR,25,0.7194754715451234
10,Ridge,25,0.3022163151051044
10,GBR,25,0.9306327104649299
10,MLP,25,-0.22431607536774512
10,TabPFN,30,0.9518831395705616
10,RF,30,0.9124487411812687
10,XGBoost,30,0.8810468039078317
10,SVR,30,0.6427172538066479
10,Ridge,30,0.28639612525005276
10,GBR,30,0.8952125092252557
10,MLP,30,-0.664837461824328
10,TabPFN,35,0.9095538418361311
10,RF,35,0.9154045200899317
10,XGBoost,35,0.9322702893719508
10,SVR,35,0.7542407456138512
10,Ridge,35,0.35575376771893186
10,GBR,35,0.8853508097915934
10,MLP,35,-0.4681641285688385
10,TabPFN,40,0.8910880376323813
10,RF,40,0.9041102000641643
10,XGBoost,40,0.8775067691877596
10,SVR,40,0.8052471781226574
10,Ridge,40,0.3969288075125892
10,GBR,40,0.8591654711906449
10,MLP,40,0.4497922075370391
10,TabPFN,45,0.9183619222865741
10,RF,45,0.899682616971039
10,XGBoost,45,0.8740610044502521
10,SVR,45,0.8391473809813663
10,Ridge,45,0.3890115516196532
10,GBR,45,0.8855795501087586
10,MLP,45,-1.2094275360721314
10,TabPFN,48,0.9138936720350983
10,RF,48,0.8905154728175448
10,XGBoost,48,0.8782384606913555
10,SVR,48,0.8459187449158805
10,Ridge,48,0.42168685758827784
10,GBR,48,0.8831194550546139
10,MLP,48,0.07256598306755735
11,TabPFN,10,0.6480704322703301
11,RF,10,0.7074577749543383
11,XGBoost,10,-0.3084950578010741
11,SVR,10,0.3537116452036858
11,Ridge,10,-0.49762109228613616
11,GBR,10,0.5104378456526754
11,MLP,10,-5.946153765623785
11,TabPFN,15,0.7711024410038574
11,RF,15,0.8278294209910655
11,XGBoost,15,0.695036679941275
11,SVR,15,0.3667347143320331
11,Ridge,15,-0.04826046079850754
11,GBR,15,0.7063879649512099
11,MLP,15,-0.26752586760859653
11,TabPFN,20,0.8877849346757765
11,RF,20,0.8657385126165833
11,XGBoost,20,0.7242750557418154
11,SVR,20,0.5014798406566678
11,Ridge,20,0.20594746665616337
11,GBR,20,0.8403283552968703
11,MLP,20,-1.599988080584302
11,TabPFN,25,0.9408159452365612
11,RF,25,0.8871956942451085
11,XGBoost,25,0.7894828292868599
11,SVR,25,0.5026487330993367
11,Ridge,25,0.42335130589377024
11,GBR,25,0.8925566210653187
11,MLP,25,-1.1164704055169952
11,TabPFN,30,0.9282776989856875
11,RF,30,0.8785647087904684
11,XGBoost,30,0.7851074000123875
11,SVR,30,0.602854827727223
11,Ridge,30,0.36128080142024177
11,GBR,30,0.8854608516194595
11,MLP,30,-0.8247165987937832
11,TabPFN,35,0.9359183557618053
11,RF,35,0.9323169738024768
11,XGBoost,35,0.8390421791958579
11,SVR,35,0.389574209668342
11,Ridge,35,0.17447559574932314
11,GBR,35,0.9069679531736623
11,MLP,35,0.013338119433801698
11,TabPFN,40,0.9494309342008413
11,RF,40,0.9049326614170671
11,XGBoost,40,0.7806804913953937
11,SVR,40,0.47127002284403463
11,Ridge,40,0.34358769596015426
11,GBR,40,0.8643722046774173
11,MLP,40,0.6387661424166273
11,TabPFN,45,0.9484237192321925
11,RF,45,0.9415145540284284
11,XGBoost,45,0.8266491362143189
11,SVR,45,0.3486462133551308
11,Ridge,45,0.125333704034852
11,GBR,45,0.9214802146746007
11,MLP,45,0.534054133615215
11,TabPFN,48,0.9495055914376936
11,RF,48,0.9316710358090702
11,XGBoost,48,0.8170636101137738
11,SVR,48,0.45682848567674195
11,Ridge,48,0.26875817353429676
11,GBR,48,0.9007741620427498
11,MLP,48,0.6599182193122385
12,TabPFN,10,0.7812091731931594
12,RF,10,0.6228959073049469
12,XGBoost,10,0.6322716613324234
12,SVR,10,0.09037912308711149
12,Ridge,10,0.2734306705297268
12,GBR,10,0.5859959558649575
12,MLP,10,-2.1417311013507256
12,TabPFN,15,0.8057197100938033
12,RF,15,0.7693291024715841
12,XGBoost,15,0.777201229329733
12,SVR,15,0.5732685397761749
12,Ridge,15,0.5844627973932524
12,GBR,15,0.7306923705286986
12,MLP,15,-0.007439417902300738
12,TabPFN,20,0.838532406994835
12,RF,20,0.8154836335659004
12,XGBoost,20,0.7749929409641079
12,SVR,20,0.04568237619955373
12,Ridge,20,0.46468587409232665
12,GBR,20,0.8180443050597331
12,MLP,20,-4.2708873357684345
12,TabPFN,25,0.7623608010185539
12,RF,25,0.8301721687158278
12,XGBoost,25,0.817604291626497
12,SVR,25,0.22821574077222062
12,Ridge,25,0.42368131896939765
12,GBR,25,0.7839152669528995
12,MLP,25,-1.0765757691520275
12,TabPFN,30,0.8143323534967414
12,RF,30,0.818868532818743
12,XGBoost,30,0.8147332452523746
12,SVR,30,0.12268197709340933
12,Ridge,30,0.5428593406599549
12,GBR,30,0.8226007626355729
12,MLP,30,0.19485383562083203
12,TabPFN,35,0.8989900201028199
